1,abonamentowy
2,abonencki
3,absolutny
4,absolutystyczny
5,absorpcyjny
6,abstrakcyjny
7,absurdalny
8,aby
9,achromatyczny
10,adaptacyjny
11,addytywny
12,adekwatny
13,adiabatyczny
14,administracyjny
15,adresowy
16,adwokacki
17,aerodynamiczny
18,afektacyjny
19,afektowany
20,aferowy
21,afirmatywny
22,aforystyczny
23,agencyjny
24,agrarny
25,agresywny
26,agrotechniczny
27,ahistoryczny
28,akademicki
29,akademiczny
30,akcentuacyjny
31,akcyjny
32,akordowy
33,akrobatyczny
34,aksamitny
35,aksonometryczny
36,aktorski
37,aktualny
38,aktywny
39,akumulacyjny
40,akuratny
41,akustyczny
42,alabastrowy
43,alarmowy
44,albumowy
45,alegoryczny
46,aleksandryjski
47,alergiczny
48,alfabetyczny
49,algebraiczny
50,algorytmiczny
51,alimentowany
52,alkaliczny
53,alkoholowy
54,alogiczny
55,alpejski
56,alternatywny
57,alterocentryczny
58,altruistyczny
59,aluminiowy
60,aluwialny
61,aluzyjny
62,amarantowy
63,amatorski
64,ambarasowny
65,ambicjonalny
66,ambitny
67,ambiwalentny
68,ambulatoryjny
69,ametystowy
70,amfibrachiczny
71,amfiteatralny
72,amoralny
73,amorficzny
74,amortyzacyjny
75,amoryczny
76,anachroniczny
77,analityczny
78,analogiczny
79,analogowy
80,anarchiczny
81,anatomiczny
82,andrusowaty
83,andrusowski
84,anegdotyczny
85,anemiczny
86,angielski
87,anglikañski
88,anglosaski
89,anielski
90,animalny
91,animistyczny
92,animowany
93,ankietowany
94,ankietowy
95,anonimowy
96,anormalny
97,anormatywny
98,antagonistyczny
99,antarktyczny
100,antenowy
